"nbsp","sing.sp","FRic","qual.FRic","FEve","FDiv","FDis","RaoQ","CWM.bodymass","CWM.Vertebrate","CWM.Invertebrate","CWM.Fish","CWM.Seed","CWM.Fruit","CWM.Root","CWM.Woody","CWM.Herbaceous","CWM.Nectar","CWM.aquatic","CWM.terrestrial","CWM.fossorial","CWM.arboreal","shortName","nLocomotor","nTrophic"
10,10,2.41160296396047e-10,0.245927495326894,0.915929233755549,0.692847253394622,0.148457238781063,0.0248211499544997,10512.266,2.4,3,3.7,4,3.2,3.7,3.44444444444444,3.11111111111111,4,"0","1","0","0","El Omayed Biosphere",2,7
44,44,2.54375070767261e-07,0.245927495326894,0.85214835913583,0.669581331786802,0.158480716496903,0.0270386020770144,173689.768125,2.70731707317073,2.8780487804878,3.92682926829268,3.90243902439024,3.46341463414634,3.68292682926829,3.17073170731707,3.02439024390244,4,"0","1","0","0","Etosha NP",3,14
20,20,6.20850865178792e-08,0.245927495326894,0.889214049228448,0.675200946773829,0.136160327632223,0.0233715576554336,19198.395375,2.45,2.95,3.85,3.85,3.2,3.85,3.55555555555556,3.5,4,"0","1","0","0","Fada Archei FR",3,10
31,31,2.5844761831589e-08,0.245927495326894,0.991486323584841,0.643881546794154,0.156040260852427,0.0260678745337397,167809.989290323,2.89285714285714,3.25,3.78571428571429,3.78571428571429,3.21428571428571,3.92857142857143,3,2.85714285714286,4,"0","1","0","0","Gabiro",4,13
21,21,2.06626620878023e-08,0.245927495326894,0.89504402748739,0.71839297526251,0.1592190777198,0.0298380767605197,59115.0708333333,2.52380952380952,2.76190476190476,3.85714285714286,3.85714285714286,3.19047619047619,3.85714285714286,3.45,3.25,4,"0","1","0","0","Gadabedji FR",3,9
44,44,8.380176076481e-06,0.245927495326894,0.928738324061856,0.642945378922784,0.178748230668573,0.0362962568976045,200175.862272727,2.72093023255814,3.04651162790698,3.7906976744186,3.76744186046512,3,3.7906976744186,3.25581395348837,3.02325581395349,4,"0","1","0","0","Gambela NP",5,14
36,36,5.08881520219998e-06,0.245927495326894,0.970655368232547,0.644273233352637,0.183005896656359,0.0378273765580677,296205.769444444,3,3.17142857142857,3.77142857142857,3.62857142857143,3.05714285714286,3.74285714285714,3.34285714285714,2.8,4,"0","1","0","0","Garamba",5,14
68,68,0.000219740514617671,0.245927495326894,0.919348727836837,0.673102254716804,0.1882079934021,0.0395920215594961,157409.464742647,2.90909090909091,2.92424242424242,3.8030303030303,3.68181818181818,2.75757575757576,3.71212121212121,3.18181818181818,3.18181818181818,4,"0","1","0","0","Garamba NP",5,17
63,63,6.36856155791581e-06,0.245927495326894,0.91919323531802,0.660253567738235,0.169001193572116,0.0318839257083941,102302.338055556,2.71666666666667,2.81666666666667,3.85,3.86666666666667,3.06666666666667,3.8,3.2,3.18333333333333,3.95,"0","1","0","0","Ghonarezhou NP",5,17
49,49,3.20937660298531e-06,0.245927495326894,0.947723136764499,0.666866281822997,0.171206031534053,0.0334634945108303,175942.661785714,2.68085106382979,2.80851063829787,3.85106382978723,3.78723404255319,3.08510638297872,3.74468085106383,3.27659574468085,3.27659574468085,3.93617021276596,"0","1","0","0","Gile GR",5,17
67,67,0.000276347395108657,0.245927495326894,0.912684225944392,0.664922852302808,0.185159325655083,0.0376911845382052,47313.4868221393,2.82539682539683,2.90476190476191,3.80952380952381,3.80952380952381,2.57142857142857,3.71428571428571,3.3015873015873,3.25396825396825,4,"0","1","0","0","Gishwati FR",5,17
